id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
561,"allergy, nose block, headache",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,CwCMuCMD,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
562,"acne, ulcer, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,X3RSrIYW,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
563,gastric problem,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,QKvOC71y,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
564,"blood impure, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,AuLFK9c5,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
565,"psoriasis, liver problem",Vaidya Seema Verma,Virechana,vaidya.seema.verma,Zjtij6ND,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
566,skin rashes,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,LVWm0GxV,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
567,"nose block, migraine, cold",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,eRRVzHwD,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
568,ulcer,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,5a9arfT7,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
569,migraine,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,kWAIoHa6,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
570,"eczema, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,X7s1i0xW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
571,"headache, sinus, allergy",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,5ivaGjnd,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
572,acne,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,eJru8iAn,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
573,obesity,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,kJ4Hza4r,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
574,"nose block, stuffy nose",Vaidya Priya Nair,Nasya,vaidya.priya.nair,yQ4eOTnu,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
575,ulcer,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,SeXVWgDX,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
576,"constipation, back pain, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,W2cGlpw6,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
577,"inflammation, acne, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,Hu4lc65w,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
578,"back pain, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,ACpZRSyH,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
579,"acne, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,cO8unMh4,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
580,indigestion,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,0hDoTuCt,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
581,acidity,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,sOfJREMP,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
582,"respiratory issue, kapha disorder",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,r3L6BwX7,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
583,"allergy, pimples",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,M7yUZSeS,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
584,"bronchitis, asthma",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,IapaL2mx,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
585,"bronchitis, kapha disorder",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,eRBXjO9e,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
586,"respiratory issue, asthma",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,tMhYWrjU,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
587,"asthma, bronchitis, obesity",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,PaONxWRO,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
588,kapha disorder,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,7rVwjTJX,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
589,"cough, kapha disorder",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,IkDkQNFg,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
590,blood impure,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,jvMTeWdf,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
591,inflammation,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,zor2HZqc,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
592,blood impure,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,uBI4A0Oj,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
593,"back pain, constipation",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,SFH4zCxm,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
594,"liver problem, allergy, psoriasis",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,C8Tx9mJJ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
595,"liver problem, allergy",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,igXmTQNd,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
596,"ulcer, skin boils, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,SpC6Ziu7,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
597,gout,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,j45LnPdf,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
598,pimples,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,6vwOEzJX,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
599,asthma,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,MS502Mmg,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
600,"bronchitis, cough, asthma",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,V39kKv01,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
601,acidity,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,BRLxO5hg,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
602,"inflammation, blood impure, gout",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,wAdZfdVZ,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
603,"respiratory issue, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,5MONWTu4,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
604,"cough, respiratory issue, obesity",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,M861WWCp,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
605,"inflammation, gout, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,Dim0iXjr,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
606,gastric problem,Vaidya Seema Verma,Basti,vaidya.seema.verma,R0gaYmrE,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
607,"eczema, liver problem, psoriasis",Vaidya Seema Verma,Virechana,vaidya.seema.verma,8yljxWDT,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
608,"sinus, stuffy nose, headache",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,IwUr2NgL,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
609,blood impure,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,Er85EK6H,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
610,joint pain,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,opPZA9vC,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
611,gastric problem,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,TDdiCsGA,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
612,eczema,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,w8S5SWkH,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
613,"acidity, psoriasis, eczema",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,ok9aP7xL,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
614,kapha disorder,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,Bd2aTMTm,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
615,"migraine, nose block, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,FZgCPP1H,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
616,constipation,Vaidya Seema Verma,Basti,vaidya.seema.verma,Qjo4CTSN,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
617,"bronchitis, respiratory issue, cough",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,VxMN6Vqb,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
618,"allergy, skin rashes, liver problem",Vaidya Seema Verma,Virechana,vaidya.seema.verma,NBH3TKeU,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
619,liver problem,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,AKYow2Ke,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
620,gastric problem,Vaidya Rohit Patil,Basti,vaidya.rohit.patil,EeZasF8S,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
621,respiratory issue,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,7Ntr8GIP,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
622,"bronchitis, obesity, respiratory issue",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,DsCAKP6q,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
623,"skin rashes, acidity",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,jmZVBqZx,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
624,asthma,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,PDhxnAiN,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
625,headache,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,pvJLOM07,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
626,ulcer,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,zT9jSO1O,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
627,bronchitis,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,GlwsaXkD,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
628,"gastric problem, constipation",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,t6sVxC9T,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
629,obesity,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,07YnLDJn,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
630,"indigestion, gastric problem",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,HS32MLrZ,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
631,"sinus, nose block, allergy",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,4J0MoDfM,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
632,allergy,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,nclOwVON,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
633,"blood impure, acne, inflammation",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,BLkw5cp9,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
634,acidity,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,QpQqxVYp,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
635,"skin rashes, pimples",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,DWGmLUYm,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
636,"pimples, acidity, eczema",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,ZkhtQMKK,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
637,"nose block, stuffy nose, headache",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,gcHrkCdn,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
638,"respiratory issue, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,wUpg8KUk,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
639,obesity,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,MAZloRWc,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
640,cough,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,jomB7b60,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
641,"pimples, liver problem, acidity",Vaidya Seema Verma,Virechana,vaidya.seema.verma,62MDQpcw,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
642,"kapha disorder, bronchitis",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,7mxkyEio,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
643,"indigestion, arthritis, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,T5PCltP7,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
644,"allergy, headache, migraine",Vaidya Priya Nair,Nasya,vaidya.priya.nair,sqpTUIhT,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
645,"liver problem, eczema",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,lcdZ3tzZ,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
646,"back pain, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,Ok7hoakn,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
647,"allergy, nose block, sinus",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,3apNkCP3,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
648,"kapha disorder, respiratory issue",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,YnrgYFdj,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
649,nose block,Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,vO7ZnHBJ,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
650,skin boils,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,qM3NIwdp,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
651,"acidity, skin rashes",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,Q9O98RuN,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
652,"liver problem, acidity",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,yxlct9V3,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
653,"inflammation, gout",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,cNPQuvda,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
654,"headache, cold",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,NZ9tGcnO,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
655,"liver problem, pimples",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,i98hMz2b,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
656,"eczema, acidity",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,UTOZp76O,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
657,allergy,Vaidya Priya Nair,Nasya,vaidya.priya.nair,72mbkffP,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
658,"obesity, cough",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,WsZGylce,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
659,"gout, inflammation, skin boils",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,Xi7ol0ZM,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
660,"skin rashes, pimples",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,A16DpPC0,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
661,"acidity, eczema",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,Vd3uzM7k,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
662,sinus,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,P01QtbSD,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
663,"gout, inflammation",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,UQatxTXz,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
664,"allergy, skin rashes, liver problem",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,BaDsvIGm,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
665,"obesity, cough, kapha disorder",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,SXU4mKPv,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
666,"kapha disorder, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,TdTOVLLc,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
667,"migraine, stuffy nose, allergy",Vaidya Priya Nair,Nasya,vaidya.priya.nair,D5Ybpbef,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
668,respiratory issue,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,uQXwAHCo,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
669,"constipation, arthritis, indigestion",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,a1vYq3Nq,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
670,"arthritis, back pain, joint pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,5AElF165,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
671,"joint pain, arthritis, constipation",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,pSeqODRE,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
672,"constipation, back pain, indigestion",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,2cQgAfrj,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
673,stuffy nose,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,49JGlUjR,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
674,allergy,Vaidya Priya Nair,Nasya,vaidya.priya.nair,fIHBE7QP,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
675,back pain,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,wlGkBvYH,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
676,"obesity, respiratory issue, cough",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,d5vt2mF2,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
677,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,CUouJTgs,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
678,"cold, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,ZIxwkSPT,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
679,liver problem,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,i0PXrno7,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
680,"headache, allergy",Vaidya Priya Nair,Nasya,vaidya.priya.nair,O9H0aj7P,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
681,"skin boils, ulcer",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,UBvNKbIP,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
682,"headache, allergy, cold",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,e3BBm3P9,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
683,"constipation, gastric problem",Vaidya Seema Verma,Basti,vaidya.seema.verma,bQ19bMLm,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
684,liver problem,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,XuGI6ar2,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
685,"psoriasis, pimples",Vaidya Seema Verma,Virechana,vaidya.seema.verma,vc3QEfRO,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
686,"allergy, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,k5k0qXN1,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
687,blood impure,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,iwBQitBR,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
688,respiratory issue,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,6C7Au5HA,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
689,"stuffy nose, nose block, migraine",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,Q6OJVNXv,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
